p_val;avg_log2FC;pct.1;pct.2;p_val_adj;cluster;gene
4.08420410582835e-11;1.30223347728827;0.885;0.587;3.10276985919779e-07;Tg 3;TGME49-207060
4.3294528811023e-11;1.3063746466326;0.623;0.206;3.28908535377342e-07;Tg 3;TGME49-254880
4.48299363202789e-11;1.9069237195117;0.672;0.313;3.40573026225159e-07;Tg 3;TGME49-233140
5.16492796293753e-11;1.18614407735212;0.934;0.676;3.92379577344364e-07;Tg 3;TGME49-273090
5.27022655994787e-11;1.59042111271674;0.672;0.267;4.0037911175924e-07;Tg 3;TGME49-202510
5.48910430626962e-11;1.5995030790555;0.787;0.423;4.17007254147303e-07;Tg 3;TGME49-259550
6.32811759269543e-11;1.22122956396717;0.852;0.502;4.80747093517072e-07;Tg 3;TGME49-208440
7.87594558990606e-11;1.55831065375485;0.951;0.769;5.98335586465163e-07;Tg 3;TGME49-252210
1.06734918479197e-10;2.26158736636624;0.377;0.078;8.10865175686456e-07;Tg 3;TGME49-283810
1.11095782587519e-10;1.27572474030458;0.918;0.623;8.4399466031738e-07;Tg 3;TGME49-231410
1.14723969976286e-10;1.41592691037057;0.885;0.63;8.71557999909844e-07;Tg 3;TGME49-313640
1.37762604131806e-10;1.20368898265804;0.869;0.48;1.04658250358933e-06;Tg 3;TGME49-313080
1.39633123603205e-10;1.28804046357196;0.82;0.434;1.06079284001355e-06;Tg 3;TGME49-254365
1.48892008092769e-10;1.45243273094144;0.721;0.331;1.13113258548077e-06;Tg 3;TGME49-240380
1.79182180842597e-10;1.12051137735302;0.984;0.875;1.36124702786121e-06;Tg 3;TGME49-257530
2.04938155069479e-10;1.23083727107724;0.869;0.52;1.55691516406283e-06;Tg 3;TGME49-216730
2.20315771870517e-10;1.68046983164978;0.541;0.178;1.67373891890032e-06;Tg 3;TGME49-237110
2.41503855749354e-10;1.19191181488169;0.59;0.21;1.83470479212784e-06;Tg 3;TGME49-283710
2.46888709828253e-10;1.60377614047091;0.574;0.199;1.87561352856524e-06;Tg 3;TGME49-252310
2.56265848891034e-10;1.90868218708597;0.41;0.103;1.94685165402519e-06;Tg 3;TGME49-232500
2.60480741511914e-10;1.15636229527426;0.934;0.808;1.97887219326601e-06;Tg 3;TGME49-321520
2.78733170650584e-10;1.70756061330149;0.393;0.093;2.11753589743249e-06;Tg 3;TGME49-209060
3.03344586513454e-10;1.11052903630432;0.918;0.605;2.30450882374271e-06;Tg 3;TGME49-305340
3.24191158267437e-10;1.3553753135503;0.803;0.491;2.46288022935772e-06;Tg 3;TGME49-239752
3.34002855797399e-10;1.30973659575482;0.918;0.715;2.53741969549284e-06;Tg 3;TGME49-318230
4.61503929215903e-10;1.49517490082503;0.787;0.463;3.50604535025321e-06;Tg 3;TGME49-218780
5.32103939191281e-10;1.05907960195393;0.885;0.612;4.04239362603616e-06;Tg 3;TGME49-225050
5.51858515715617e-10;1.43332826808264;0.426;0.103;4.19246914389154e-06;Tg 3;TGME49-257568
6.54600820398436e-10;1.57676880749374;0.77;0.456;4.97300243256692e-06;Tg 3;TGME49-290200
6.95111144390143e-10;1.0861954196396;0.344;0.068;5.28075936393192e-06;Tg 3;TGME49-282090
7.94590123173628e-10;1.22222026554964;0.902;0.655;6.03650116575005e-06;Tg 3;TGME49-262710
