myAUC	avg_diff	power	avg_log2FC	pct.1	pct.2
Ing1	0.875	1.1659644706976	0.75	1.68213115972815	1	0.667
Ifitm1	0.875	3.01173261490043	0.75	4.3450117080004	1	0.556
Adam12	0.875	3.26766598903763	0.75	4.71424551766612	0.75	0
Cyp2r1	0.875	1.38629436111989	0.75	2	0.75	0
Lipt2	0.875	2.58399755243223	0.75	3.7279204545632	0.75	0
Cebpa	0.875	1.0438617738967	0.75	1.50597420457433	1	0.667
Zfp27	0.875	1.70474809223843	0.75	2.4594316186373	0.75	0
Numbl	0.875	1.01160091167848	0.75	1.4594316186373	0.75	0
Prkd2	0.875	1.83258146374831	0.75	2.64385618977472	0.75	0
Gm45509	0.875	0.810930216216329	0.75	1.16992500144231	0.75	0
Rpa3	0.875	0.862223510603879	0.75	1.24392558288609	1	0.222
Asns	0.875	0.873234099552484	0.75	1.25981050495951	1	0.778
Mrm2	0.875	1.50407739677627	0.75	2.16992500144231	0.75	0
Fbxo44	0.875	1.83258146374831	0.75	2.64385618977472	0.75	0
Dennd4c	0.875	1.55814461804655	0.75	2.24792751344359	0.75	0
Col27a1	0.875	3.17805383034795	0.75	4.58496250072116	0.75	0
Elp1	0.875	0.99013164567404	0.75	1.42845801504117	1	0.556
Cryz	0.875	2.19722457733622	0.75	3.16992500144231	0.75	0
